DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
2120013,1,1,1,4,2,1,2,08,"",25.0992383763707
2120018,1,1,1,1,1,1,2,08,"",22.1171729995431
2120022,1,1,1,4,1,2,2,08,"",34.3413360666931
2120023,1,1,1,1,5,2,2,08,"",21.4130391555081
2120024,1,1,1,1,1,4,1,08,"",122.952097448018
2120026,1,2,1,1,1,6,1,08,"",182.474122901393
2120037,1,1,1,2,4,1,1,08,"",132.915712199043
2120038,1,2,1,1,4,1,1,08,"",124.146741810403
2120053,1,2,1,2,5,1,1,08,"",83.9882343543861
2120053,1,3,1,1,1,6,1,08,"",83.9882343543861
2120054,1,1,1,1,4,1,1,08,"",148.309512040104
2120064,1,1,1,2,1,2,1,08,"",183.472324454137
2120068,1,1,1,1,4,1,1,08,"",211.41142026612
2120076,1,1,1,2,1,1,2,08,"",29.3681993569704
2120086,1,1,2,1,3,2,2,08,"",29.2711935818468
2120088,1,1,1,1,5,1,2,08,"",31.531304885975
2120091,1,2,1,1,1,4,2,08,"",2.59823148461945
2120097,1,1,1,1,2,1,2,08,"",1.94935877319242
2120106,1,4,2,1,5,1,1,08,"",135.51081284673
2120109,1,1,1,4,3,2,1,08,"",137.116198409094
2120116,1,1,1,2,3,6,1,08,"",142.436958914803
2120122,1,3,2,1,5,2,1,08,"",58.0914926153687
2120124,1,1,1,1,4,1,1,08,"",90.2221787458381
2120125,1,1,1,1,2,1,1,08,"",138.573765133245
2120128,1,1,5,3,5,,1,08,"",117.574819662001
2120128,1,2,1,1,2,1,1,08,"",117.574819662001
2120128,1,5,1,1,5,6,1,08,"",117.574819662001
2120129,1,2,1,4,3,6,1,08,"",119.201826277872
2120129,1,4,1,1,1,1,1,08,"",119.201826277872
2120136,1,1,1,1,5,6,2,08,"",57.5976610724921
2120139,1,1,1,1,4,6,2,08,"",57.5976610724921
2120141,1,1,1,1,1,1,1,08,"",103.333522862237
2120142,1,1,1,1,5,2,1,08,"",78.1319621789429
2120142,1,2,1,4,4,1,1,08,"",78.1319621789429
2120143,1,3,1,1,5,4,1,08,"",117.776811627073
2120146,1,2,2,1,1,2,1,08,"",143.054120228108
2120147,1,2,2,2,5,3,1,08,"",155.7364002293
2120147,1,3,1,1,1,1,1,08,"",155.7364002293
2120151,1,1,1,2,3,1,1,08,"",166.288518159894
2120152,1,2,2,3,5,1,1,08,"",108.855589327982
2120153,1,1,1,1,1,4,1,08,"",157.205964809402
2120156,1,3,1,5,2,1,1,08,"",124.81874452179
2120157,1,5,1,1,2,6,1,08,"",146.132036163464
2120160,1,1,1,2,4,1,1,08,"",143.581153563032
2120160,1,2,1,1,3,6,1,08,"",143.581153563032
2120162,1,2,1,2,4,1,1,08,"",63.1286953134566
2120163,1,2,1,4,5,2,2,08,"",26.7041946886881
2120165,1,1,2,3,5,1,2,08,"",28.2511620942312
2120167,1,2,1,1,5,1,2,08,"",26.1980129713882
2120167,1,3,1,1,2,6,2,08,"",26.1980129713882
2120167,1,4,1,1,1,1,2,08,"",26.1980129713882
2120168,1,1,1,4,4,1,2,08,"",28.8466008935417
2120169,1,2,1,5,4,1,2,08,"",34.6924672161007
2120172,1,3,1,1,2,1,2,08,"",38.3511304655411
2120173,1,1,1,3,5,6,2,08,"",29.7700554779382
2120175,1,2,1,1,4,1,2,08,"",20.120364050359
2120176,1,1,1,2,2,4,2,08,"",33.2536491932407
2120177,1,1,1,1,5,3,2,08,"",27.2965091860298
