DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
2120038,1,2,1,1,2,2,400000,2,,2,,2,2,24,40,1,08,"",124.146741810403
2120076,1,1,1,3,,2,,2,,,,2,2,3,58,2,08,"",29.3681993569704
2120086,1,1,1,1,2,1,600000,2,,2,,2,2,24,40,2,08,"",29.2711935818468
2120122,1,3,1,2,,2,,2,,,,2,2,156,53,1,08,"",58.0914926153687
2120128,1,1,1,2,,1,,2,,,,2,2,24,46,1,08,"",117.574819662001
2120147,1,2,1,1,2,1,800000,2,,2,,2,2,48,32,1,08,"",155.7364002293
2120147,1,2,1,2,,2,,2,,,,2,2,108,39,1,08,"",155.7364002293
2120147,1,2,2,1,2,1,800000,2,,2,,2,2,36,36,1,08,"",155.7364002293
2120151,1,1,1,1,2,1,120000,2,,2,,2,2,12,30,1,08,"",166.288518159894
2120162,1,2,1,1,2,2,800000,2,,2,,2,2,24,30,1,08,"",63.1286953134566
2120162,1,2,2,1,2,2,800000,2,,2,,2,2,24,30,1,08,"",63.1286953134566
2120162,1,2,3,1,2,2,800000,2,,2,,2,2,50,30,1,08,"",63.1286953134566
2120162,1,2,4,1,2,2,800000,2,,2,,2,2,24,30,1,08,"",63.1286953134566
2120162,1,2,5,1,2,2,800000,2,,2,,2,2,30,30,1,08,"",63.1286953134566
2120168,1,1,1,2,,2,,2,,,,2,2,60,30,2,08,"",28.8466008935417
2120177,1,1,1,1,2,2,600000,2,,2,,2,2,12,30,2,08,"",27.2965091860298
2120182,1,1,1,1,2,2,500000,2,,2,,2,2,5,37,2,08,"",27.7494800173499
2120190,1,1,1,3,,1,,2,,,,2,2,24,48,2,08,"",22.1402130370254
2120190,1,1,2,3,,1,,2,,,,2,2,24,47,2,08,"",22.1402130370254
2120193,1,2,1,1,2,1,60000,2,,2,,2,2,5,59,2,08,"",36.231608463992
2120196,1,2,1,1,2,2,300000,2,,2,,2,2,24,60,2,08,"",30.0562293780223
2120196,1,2,2,1,2,2,300000,2,,2,,2,2,24,25,2,08,"",30.0562293780223
2120199,1,1,1,1,2,1,750000,2,,2,,2,2,30,18,2,08,"",41.1411864803515
2120203,1,1,1,1,2,1,250000,2,,2,,2,2,3,40,2,08,"",36.8492374240966
2120210,1,1,1,1,2,2,360000,2,,2,,2,2,4,40,2,08,"",38.2191891230069
2120210,1,1,1,3,,2,,2,,,,2,2,432,69,2,08,"",38.2191891230069
2120210,1,1,2,1,2,2,240000,2,,2,,2,2,3,23,2,08,"",38.2191891230069
2120227,1,2,1,3,,2,,2,,,,2,2,120,28,1,08,"",89.8240402509193
2120237,1,1,1,1,2,1,600000,2,,2,,2,2,24,57,1,08,"",92.5589931809525
2120237,1,1,2,1,2,1,360000,2,,2,,2,2,24,64,1,08,"",92.5589931809525
2120275,1,1,1,1,2,1,1000000,2,,2,,2,2,108,38,1,13,"",189.327713015217
2120275,1,1,2,1,2,1,1000000,2,,2,,2,2,108,40,1,13,"",189.327713015217
2120275,1,1,3,1,2,2,1000000,2,,2,,2,2,108,35,1,13,"",189.327713015217
2120289,1,2,1,2,,1,,2,,,,2,2,3,23,2,13,"",122.084177500036
2120292,1,1,1,1,2,2,80000,2,,2,,2,2,3,48,2,13,"",134.581331812527
2120292,1,1,1,2,,1,,2,,,,2,2,3,27,2,13,"",134.581331812527
2120307,1,1,1,1,2,1,390000,2,,2,,2,2,36,43,1,13,"",333.192203638888
2120307,1,1,1,3,,1,,2,,,,2,2,2,17,1,13,"",333.192203638888
2120317,1,2,1,3,,1,,2,,,,2,2,140,27,2,13,"",126.54794037515
