DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_MICRO_DPTO
2120013,1,1,16.7639595794763
2120018,1,1,12.6252067072473
2120022,1,1,20.4604916895917
2120023,1,1,11.7143685626379
2120024,1,1,129.314169322381
2120026,1,2,188.592460965278
2120037,1,1,160.100831897456
2120038,1,2,129.611278501894
2120053,1,2,115.929452954866
2120053,1,3,115.929452954866
2120054,1,1,177.502114446423
2120064,1,1,237.635194730458
2120068,1,1,247.295857856139
2120076,1,1,15.3573860116962
2120086,1,1,17.4063660271126
2120088,1,1,17.8010127183906
2120091,1,2,2.55472477651376
2120097,1,1,2.27022655306362
2120106,1,4,413.929533145927
2120109,1,1,440.022387777065
2120116,1,1,430.487655368561
2120122,1,3,190.524017946091
2120124,1,1,276.427450884509
2120125,1,1,446.577410532661
2120128,1,1,306.470380672546
2120128,1,2,306.470380672546
2120128,1,5,306.470380672546
2120129,1,2,370.240949365563
2120129,1,4,370.240949365563
2120136,1,1,36.1888214657202
2120139,1,1,36.1888214657202
2120141,1,1,306.755546042753
2120142,1,1,236.529384248265
2120142,1,2,236.529384248265
2120143,1,3,367.245364635803
2120146,1,2,352.317685584793
2120147,1,1,
2120147,1,2,504.897686348882
2120147,1,3,504.897686348882
2120151,1,1,535.892892639193
2120152,1,2,323.777427934628
2120153,1,1,405.627194981607
2120156,1,3,416.07450623783
2120157,1,5,400.496585277623
2120160,1,1,510.180796724615
2120160,1,2,510.180796724615
2120162,1,2,204.257675471269
2120163,1,2,76.2244512809651
2120165,1,1,80.9681466153152
2120167,1,2,105.505474732626
2120167,1,3,105.505474732626
2120167,1,4,105.505474732626
2120168,1,1,115.95204213834
2120169,1,2,159.237548669651
2120170,1,4,
2120172,1,3,113.698194475706
2120173,1,1,112.365429129442
2120175,1,2,85.0594653633479
2120176,1,1,93.4175807547184
2120177,1,1,92.0436314281599
2120179,1,1,88.7336066556285
2120182,1,1,110.04315377106
2120187,1,1,192.976922425418
